Common name (Required)	Scientific name (Required)	Description (Required)	Pictures	Common name synonyms	Scientific synonyms	Family	Origin	Status	Uses	Edibility	Edibility working column	Look-a-likes	Fun Facts	Components go to the right of this column FORMAT: <Component Name> DASH <Component Possibility>, <Component Possibility>, .... LEFT CURLY BRACE isRequired RIGHT CURLY BRACE LEFT CURLY BRACE <Observation Type> RIGHT CURLY BRACE LEFT CURLY BRACE <Data Type> RIGHT CURLY BRACE LEFT CURLY BRACE isFilterable RIGHT CURLY BRACE LEFT CURLY BRACE <Judgement description> RIGHT CURLY BRACE	Flower color- yellow, white, blue, purple, red, orange, pink, green{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the color of the flower?}	Flower arrangement- solitary, head, spike, raceme, umbel, cyme, corymb, panicle{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the flower arrangement?}	Flower symmetry- radial, bilateral{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the flower symmetry}	Number flower parts- 3, 4, 5, 6, more{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{If flower parts are indistinguishable, leave blank.}	Flowering month- Mar, Apr, May, Jun, Jul, Aug, Sept, Oct, Nov{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{In what month does this plant flower?}	Leaf arrangement- alternate, opposite, whorled, basal{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the leaf arrangement?}	Leaf type- simple, trifoliate, palmate, pinnate, bipinnate{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{Please choose a possible leaf type}	Leaf shape- ovate, obovate, lanceolate, cordiform, linear, elliptic, oblong, orbicular, reniform, spatulate, lobed, divided{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{Please choose a possible leaf shape}	Leaf margin- entire, finely toothed, coarsely toothed, doubly toothed, lobed, wavy{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the leaf margin like?}	Petiole present{NO}{DATA_PHOTO}{JUDGEMENT_BOOL}{FILTER}{Is a Petiole present?}	Leaf venation- parallel, branched{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{Parallel or Branched?}	Stem shape- round, square, ridged{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the shape of the stem?}	Stem texture- hairless, hairy, fuzzy, prickly{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What does the surface of the stem look like?}	Plant height{NO}{DATA_NUMBER}{JUDGEMENT_NUMBER}{FILTER}{What is the height of the plant when in flower?}	Growth form- upright no/few branches, upright branching, sprawling{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{How does the plant grow?}	Distribution- singular, bunches, patches{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{How is the plant distrubuted in the area?}	Cell name{YES}{DATA_TEXT}{JUDGEMENT_TEXT}{DONT_FILTER}{Cell Name, Meters East, Meters North}	Abundance{YES}{DATA_TEXT}{JUDGEMENT_TEXT}{DONT_FILTER}{}
Daisy fleabane, Lesser daisy fleabane	Erigeron strigosus	Erigeron strigosus is a species of flowering plant in the daisy family known by the common name plains fleabane. It is native to eastern North America, and it is present in western North America as a somewhat weedy naturalized species. This is an annual or biennial daisy reaching heights of anywhere from 30 to 80 centimeters. It has hairy, petioled, oval-shaped leaves a few centimeters long mostly on the lower part of the plant. The spindly, branching stem has inflorescences of several flower heads each. The tiny head is less than a centimeter wide and has white ray florets surrounding a golden center.			Erigeron ramosus, Stenactis annua, Stenactis septentrionalis, Doronicum ramosum, Erigeron annuus, Erigeron traversii, Stenactis beyrichii, Stenactis strigosa	Aster, Daisy (Asteraceae)	native								white, pink	panicle	radial	more	Jun, Jul, Aug, Sept	alternate, basal	simple	linear, lanceolate	entire	yes	branched	ridged	hairy, hairless	84, 30	upright branching	bunches, singular		
Rattlesnake master	Eryngium yuccifolium	Eryngium yuccifolium (Button snake-root, Rattlesnake Master) is a common herbaceous perennial plant, native to the tallgrass prairies of central and eastern North America, from Minnesota east to Ohio and south to Texas and Florida.  It grows to 1.8 m tall, with linear leaves 15–100 cm long but only  1–3 cm broad, with bristly or spiny margins and a sharp tip. The flowers are produced in dense apical umbels  1–3 cm diameter, each flower greenish-white or bluish-white, 3–4 mm  diameter. When this plant flowers, pollen matures before stigmas become  receptive to maximize outcrossing. Rattlesnake master has unusually high  seed set (close to 90%).[1] It gets its name because some Native Americans used its root as an antidote for rattlesnake venom. The scientific name was given because its leaves resemble those of yuccas.  Fibers of Rattlesnake Master have also been found as one of the primary  materials used in the ancient shoe construction of Midwestern Native  Americans.[2] E. yuccifolium is fairly intolerant of anthropogenic disturbance,[3] but readily re-establishes in prairie restorations				Parsely, Carrot (Apiaceae)	native								white	cyme	radial	5	Jul, Aug	basal	simple	linear	coarsely toothed, finely toothed	no	parallel	round	hairless	91, 23	upright no/few branches	bunches, singular		
Tall boneset, Upland boneset, Tall eupatorium, Tall thoroughwort	Eupatorium altissimum	Eupatorium altissimum is a perennial plant whose native range includes much of the eastern United States and Canada. It almost always grows on limestone soils, as does Brickellia eupatorioides, which it is potentially confused with. It can hybridize with Eupatorium serotinum.[2] It is part of Eupatorium  even when that genus is defined narrowly, to include about 40 species  of mostly white-flowered plants of North America, Asia, and Europe.[3][4]			Ageratina altissima, Ageratum altissimum, Eupatorium urticaefolium	Aster, Daisy (Asteraceae)	native								white	cyme	bilateral	more	Jul, Aug, Sept	opposite	simple	lanceolate, linear, oblong	coarsely toothed, finely toothed	no	branched, parallel	round	fuzzy	124, 33	upright no/few branches, upright branching	bunches, singular		
Spotted Joe-Pye weed	Eutrochium maculatum	Eutrochium maculatum (spotted Joe-Pye weed) is a species of flowering plant in the family Asteraceae. It is native to North America, ranging from Missouri east to the Atlantic Ocean and as far north as Ontario and Quebec, south to Kentucky.[1] It is an herbaceous perennial growing to 2 m (6 ft 7 in) with rose-purple flowers in late summer.[2] The binomial name maculatum, meaning spotted, refers to the purple spots on the stem.[3] Spotted Joe-Pye weed thrives in marshes, rich fens and swamps. It  also does well in man-made moist expanses such as ditches, seepage areas  and wet fields. Above all else the plant flourishes in the non-shaded  environments that are so abundant in wetlands			Eupatorium bruneri, Eupatoriadelphus maculatus	Aster, Daisy (Asteraceae)	native								purple, pink	cyme, corymb	bilateral	more	Jul, Aug, Sept	whorled	simple	lanceolate	coarsely toothed, finely toothed	yes	branched	round	hairless, hairy	163, 33	upright no/few branches, upright branching	bunches, singular		
Common boneset, Thoroughwort, Boneset	Eupatorium perfoliatum	The Eupatorium perfoliatum plant grows about 1m tall, with leaves that clasp the stems and dense clusters of white heads held above the foliage. The leaves growing together around the stem lead to a past  superstition that wrapping the leaves in bandages around splints would  help mend broken bones.[3] Boneset also had other medical uses,[3] and was a very common remedy in the United States in the 19th century.[4] The common name boneset apparently derives from the plant's historical use in treating dengue fever (which is also known as breakbone).[5] E. perfoliatum can form hybrids with other species of the genus Eupatorium, for example Eupatorium serotinum				Aster, Daisy (Asteraceae)	native								white	corymb, cyme	bilateral	more	Jul, Aug, Sept, Oct	opposite	simple	cordiform	finely toothed	no	branched	round	hairy	91, 23	upright no/few branches, upright branching	bunches, singular		
White snakeroot	Ageratina altissima	Also known as white snakeroot,[2] richweed,[2] white sanicle,[citation needed] or tall boneset,[citation needed] is a poisonous perennial herb in the family Asteraceae, native to eastern North America. An older binomial name for this species was Eupatorium rugosum, but the genus Eupatorium has undergone taxonomic revision by botanists and a number of the species once included there have been moved to other genera. Plants are upright or sometimes ascending, growing to 1.5 meters  tall, producing single or multi-stemmed clumps. They are found in woods  and brush thickets where they bloom mid to late summer or fall. The  flowers are a clean white color and after blooming, small seeds with  fluffy white tails are released to blow in the wind. This species is  adaptive to different growing conditions and can be found in open shady  areas with open bare ground; it can be weedy in shady landscapes and in  hedgerows. There are two different varieties Ageratina altissima var. angustata and Ageratina altissima var. roanensis (Appalachian white snakeroot); they differ in the length of the flower phyllaries and shape of the apices			Ageratina altissima, Ageratum altissimum, Eupatorium urticaefolium	Aster, Daisy (Asteraceae)	native	potentially invasive, hazardous							white	cyme, corymb	bilateral	more	Jul, Aug, Sept, Oct	opposite	simple	ovate	coarsely toothed	yes	branched	round	hairy, fuzzy	79, 28	upright no/few branches, upright branching	bunches, singular		
Upland boneset	Eupatorium sessilifolium	Upland Boneset has stems that grow from 50 to over 100 centimeters tall. They are produced from a caudice or short rhizome.  The top of the stems, where the branching begins to the flower heads,  have short hairs, while the lower part of the stems have no hairs. The  leaves are arranged in opposite pairs and are toothed. The leaf bases  are rounded and the leaves are sessile (lacking stalks), but they do not  clasp around the stem. The foliage is dotted with glands. Eupatorium sessilifolium blooms in August and September (July in the southern part of its range), and the small inflorescences are branched and composed of widely-spaced, white flower heads in corymbiform arrays. The heads typically have five or six disc florets per head, and no ray florets.[2][3] Upland Boneset has a wide distribution within the eastern and central United States,[4] but is endangered in Minnesota, New Hampshire, and Vermont. It is a threatened species in Michigan, and legally protected in that state				Aster, Daisy (Asteraceae)	native	special concern							white	corymb, cyme	bilateral	more	Aug, Sept	opposite	simple	lanceolate, linear	finely toothed	no	branched	round, ridged	hairless	99, 20	upright no/few branches, upright branching	bunches, singular		
Flowering Spurge	Euphorbia corollata	Euphorbia corollata is a species from the Euphorbiaceae family that is native to North America. A common name for the species is flowering spurge.[1]			Euphorbia marilandica, Euphorbia pubentissima, Tithymalopsis corollata, Tithymalopsis marilandica, Tithymalopsis olivacea	Spurge (Euphorbiaceae)	native	hazardous							white	panicle	radial	5	Jun, Jul, Aug, Sept	alternate, whorled	simple	oblong, linear	entire	yes, no	branched	round	hairless	74, 18	upright no/few branches, upright branching	bunches, singular		
Leafy Spurge	Euphorbia esula	Euphorbia esula, commonly known as green spurge or leafy spurge, is a species of spurge native to central and southern Europe (north to England, the Netherlands, and Germany), and eastward through most of Asia north of the Himalaya to Korea and eastern Siberia.[1][2][3] It is a herbaceous perennial plant growing to 1-1.2 m tall, with several stems branched from the base. The stems are smooth, hairless or slightly hairy. The leaves are small, lanceolate, 4-8.5 cm long and up to 1 cm broad, with a slightly wavy margin. The flowers are small, produced in umbels with a basal pair of bright yellow-green petal-like bracts.  Clusters of the bracts appear in late spring, while the actual flowers  do not develop until early summer. All parts of the plant contain a  toxic white milky sap.[3][4] It reproduces readily by seeds that have a high germination rate and may remain viable in the soil for at least seven years. The seed capsules  open explosively, dispersing seed up to 5 m from the parent plant, and  may be carried further by water and wildlife. Leafy Spurge also spreads  vegetatively from the root system, which is complex, reported to reach 8 m into the ground and 5 m across, and may have numerous buds.			Euphorbia intercedens, Euphorbia poderae, Galarhoeus esula, Tithymalus esula	Spurge (Euphorbiaceae)	nonnative								green, yellow	umbel	bilateral		May, Jun, Jul, Aug, Sept	alternate, whorled	simple	lanceolate, ovate	entire	no	branched	round	hairless	43, 20	upright no/few branches, upright branching	patches, bunches, singular		
Northern three-lobed bedstraw, Small bedstraw	Galium trifidum	Galium trifidum is a species of flowering plant in the coffee family known by the common name threepetal bedstraw. It is native to most of northern and western North America from Alaska eastern Canada to Mexico,  where it grows in moist habitat. It is a usually perennial herb forming  tangles of thin stems up to half a meter long ringed with whorls of  several linear to oval leaves. The inflorescence is a cluster of small white or pinkish flowers, each with usually three petallike lobes in its corolla.				Bedstraw, Madder (Rubiaceae)	native								white	cyme, panicle		3	Jun, Jul, Aug	whorled	simple	linear, elliptic	entire	yes	parallel	ridged	hairy	36, 20	upright no/few branches, upright branching	singular, bunches		
Cream gentian, Pale gentian, Yellow gentian	Gentiana alba	Gentiana alba (called Plain, Pale, White, Cream, or Yellow Gentian) is a herbaceous species of flowering plant in the Gentian family Gentianaceae,  producing yellowish-white colored flowers from thick white taproots. It  is native to North America from Manitoba through Ontario in the north,  south to Oklahoma, Arkansas and North Carolina, and it is listed as  rare, endangered, threatened or extirpated in parts of this range. [1] This species resembles Bottle Gentian (Gentiana andrewsii), which has blue flowers and a less upright habit, and shares much of the same range. Gentiana alba starts to bloom a few weeks earlier than Bottle Gentian and the flowers are more open at the tops. Gentiana alba can also hybridize with Gentiana andrewsii, producing upright growing plants having white flowers with blue edges. Synonyms include Gentiana flavida A. Gray			Gentiana flavida	Gentian (Gentianaceae)	native	threatened							yellow, white	head	radial	5	Aug, Sept	opposite	simple	lanceolate, ovate, cordiform	entire	no	parallel	round	hairless	61, 18	upright no/few branches	singular, bunches		
Bottle gentian, Andrews' gentian, Prairie closed gentian, Fringe-tip closed gentian	Gentiana andrewsii	Gentiana andrewsii (Bottle gentian, Closed gentian, or Closed bottle gentian) is a herbaceous species of flowering plant in the Gentian family Gentianaceae. Plants are native to northeastern North America from the Dakotas to  the East coast and bloom in late summer (August-October). The flowers  are 2 to 4 cm long, typically a rich blue color and bottle shaped with  closed mouths. The flowers are clustered at the top of the plant or in  the axis of the top leaves. The stems are 30 to 60 cm long, lax in  habit, producing sprawling plants with upturned ends ending with  clusters of bee pollinated flowers. The foliage is hairless with a  glossy sheen to it. Plants are fed upon by ground hogs and scale  insects. This species can hybridize with Gentiana alba,  producing upright growing plants with white flowers with blue edges.  This gentian is considered a threatened species in the USA states of New York and Maryland.[1]			Dasystephana andrewsii, Pneumonanthe andrewsii	Gentian (Gentianaceae)	native								blue, purple	head	radial	5	Aug, Sept, Oct	opposite	simple	lanceolate, ovate, cordiform	entire	no	parallel	round	hairless	61, 18	upright no/few branches	singular, bunches		
Prairie smoke, Old man's-whiskers	Geum triflorum	Geum triflorum, (three-flowered avens, old man's whiskers, or prairie smoke) is a spring perennial herbaceous plant of North America from northern Canada to California and east to New York.			Erythrocoma grisea, Erythrocoma triflora, Geum ciliatum, Sieversia triflora	Rose (Rosaceae)	native								pink, purple, red	cyme, head	radial, bilateral	5	Apr, May, Jun	basal, alternate	pinnate	lobed	lobed	yes, no	branched	round	hairy, fuzzy	20, 10	upright no/few branches	singular, bunches		
Hastate Indian-plantain, Sweet Indian plantain, Sweet-scented Indian plantain	Hasteola suaveolens	Perennial, 2'-5' tall forb unbranched to the inflorescence; stems mostly lined or grooved Flower: head white to cream, cylindrical; inflorescence a 6" flat-topped umbel with 20-40 heads; blooms July-Aug. Leaf:larger leaves arrow-shaped with wide lower lobes, sharply toothed, long-stalked; upper leaves becoming shorter, with winged stalks 			Cacalia suaveolens, Synosma suaveolens	Aster, Daisy (Asteraceae)	native								white, yellow	umbel	bilateral	5	Jul, Aug	basal	simple	cordiform	coarsely toothed, finely toothed	yes	branched	ridged	hairless	119, 38	upright no/few branches, upright branching	singular, bunches		
Saw-tooth sunflower	Helianthus grosseserratus	Helianthus grosseserratus, commonly known as sawtooth sunflower or thick-tooth sunflower[2] , is a perennial sunflower in the family Asteraceae, with a large flowering head (inflorescence). The plant may reach 3–12 feet (91–366 cm) in height and is found  along streams, damp prairies and roadsides in the eastern parts of Canada and the USA.[2] It prefers full sun and moist, fertile loamy soil with high organic content.[3] The lanceolate  leaves are simple and alternate and may reach 4 to 12 inches (10–30 cm)  long and from 1 to 4 inches (2–10 cm) wide. The leaf margins are  sharply toothed (hence the name, sawtooth) to occasionally nearly entire and the tips are pointed. The head  (formally composite flower) is 3 to 4 inches (7–10 cm) wide with  golden-yellow disk flowers that bloom in summer and autumn. The 10-20  yellow petals are about 1.5 inches (3.81 cm) long. The fruit is a single  achene within a husk. Various insects, birds and mammals–including cattle–feed on either the plant or its seeds.[3][4] Native Americans used to treat burns with a poultice made from the flowers			Helianthus instabilis	Aster, Daisy (Asteraceae)	native								yellow	panicle	radial	more	Jul, Aug, Sept, Oct	opposite, alternate	simple	lanceolate	coarsely toothed, finely toothed	yes	branched	round	hairless	203, 43	upright no/few branches, upright branching	singular, bunches		
Showy sunflower	Helianthus pauciflorus	Prairie Sunflower can be variable in appearance. With respect to the flowers, the disk florets are usually reddish brown (maroon), however sometimes they are yellow in appearance; there are usually 10-15 ray florets, but sometimes as many as 25. Similarly, the leaves are often 1" across or less, but sometimes wider. These variations may be the result of hybridization, or the existence of subspecies that remain to be identified. This sunflower species can be distinguished from others by the rough texture of its leaves and stems, the short stout petioles, and the lanceolate shape of its leaves. In addition, the floral bracts (phyllaries) are triangular in shape and more wide than those of most other sunflowers. Prairie Sunflower is more xerophytic than many other sunflowers in Illinois, favoring dry upland areas in full sunlight. Another scientific name for this plant is Helianthus rigidus, but it is considered obsolete.			Helianthus laetiflorus, Helianthus rigidus	Aster, Daisy (Asteraceae)	native								yellow	panicle	radial	more	Aug, Sept	opposite	simple	lanceolate	coarsely toothed, finely toothed	yes	branched	round	hairless	150, 33	upright no/few branches	patches, singular, bunches		
Ox-eye sunflower, False sunflower, Sunflower-everlasting	Heliopsis helianthoides	Heliopsis helianthoides is a species of flowering plant in the family Asteraceae, known by the common names smooth oxeye and false sunflower.[1] It is native to eastern North America, including eastern Canada and the eastern United States.[2][3] This species is a rhizomatous herbaceous perennial  growing 40–150 cm (16–59 in) tall. The toothed leaf blades are oval to  triangular or lance-shaped and may be smooth or hairy or rough in  texture. The flowers are produced from midsummer to early autumn (fall).[4] The inflorescence contains one to many composite flowerheads.  Each head contains yellow ray florets which are generally 2–4 cm long.  At the center are many yellow to brownish disc florets. The fruit is an achene about 5 mm long.[2] In the wild this plant may be found in wooded areas and tallgrass prairie, and sometimes along roadsides			Buphthalmum helianthoides, Heliopsis minor, Heliopsis scabra	Aster, Daisy (Asteraceae)	native								yellow	cyme, solitary	radial	more	Jul, Aug, Sept	opposite	simple	ovate, lanceolate	coarsely toothed	yes	branched	round	hairless	150, 33	upright no/few branches, upright branching	singular, bunches		
Dame's rocket, Dame's violet	Hesperis matronalis	Hesperis matronalis grows 100 cm or taller, with multiple  upright, hairy stems. Typically, the first year of growth produces a  mound of foliage, and flowering occurs the second year; the plants are  normally biennials, but a number of races can be short-lived perennials. The plants have showy blooms in early to mid spring. The leaves are alternately arranged on upright stems and lanceolate-shaped; they typically have very short or lack petioles  and have toothed margins, but sometimes are entire and are widest at  the base. The foliage has short hairs on the top and bottom surfaces  that give the leaves a somewhat rough feel. The larger leaves are around  12 cm long and over 4 cm wide. In early spring, a thick mound of  low-growing foliage is produced; during flowering the lower parts of the  stems are generally unbranched and denuded of foliage and the top of  the blooming plant might have a few branches that end in inflorescences. The plentiful, fragrant flowers are produced in large, showy, terminal racemes  that can be 30+ cm tall and elongate as the flowers of the  inflorescence bloom. When stems have both flowers and fruits, the weight  sometimes causes the stems to bend. Each flower is large (2 cm across),  with four petals.  Flower coloration varies, with different shades of lavender and purple  most common, but white, pink, and even some flowers with mixed colors  exist in cultivated forms. A few different double-flowered varieties  also exist.[2] The four petals are clawed and hairless. The flowers have six stamens in two groups, the four closest to the ovary are longer than the two oppositely positioned. Stigmas are two-lobed. The four sepals are erect and form a mock tube around the claws of the petals and are also colored similarly to the petals.[3] Some plants may bloom until August, but warm weather greatly shortens  the duration on each flower's blooming. Seeds are produced in thin  fruits 5–14 cm long pods, containing two rows of seeds separated by a  dimple. The fruit are terete and open by way of glabrous valves, constricted between the seeds like a pea pod. Seeds are oblong, 3–4 mm long and 1–1.5 mm wide				Mustard (Brassicaceae)	nonnative	invasive							purple, pink, white	raceme	radial	4	May, Jun, Jul, Aug, Sept	alternate	simple	lanceolate, ovate	finely toothed	no	branched	round	hairy	71, 18	upright no/few branches, upright branching	bunches, singular		
Prairie alumroot, Richardson's alumroot	Heuchera richardsonii				Heuchera hispida	Saxifrage (Saxifragaceae)	native								green, orange, yellow	panicle	bilateral	5	Jun, Jul	basal	simple	lobed, orbicular	lobed, coarsely toothed	yes	branched	round	hairy	48, 15	upright no/few branches	singular		
Common St John's-wort, Klamath weed, St. John's-wort	Hypericum perforatum	Hypericum perforatum is a yellow-flowering, stoloniferous or sarmentose, perennial herb indigenous to Europe.  It has been introduced to many temperate areas of the world and grows  wild in many meadows. The herb's common name comes from its traditional  flowering and harvesting on St John's day, 24 June. The genus name Hypericum is derived from the Greek words hyper (above) and eikon  (picture), in reference to the plant's traditional use in warding off  evil by hanging plants over a religious icon in the house during St  John's day. The species name perforatum  refers to the presence of small oil glands in the leaves that look like  windows, which can be seen when they are held against the light.[1] St John's wort is a perennial plant with extensive, creeping rhizomes.  Its stems are erect, branched in the upper section, and can grow to 1 m  high. It has opposing, stalkless, narrow, oblong leaves that are 12 mm  long or slightly larger. The leaves are yellow-green in color, with  transparent dots throughout the tissue and occasionally with a few black  dots on the lower surface.[1] Leaves exhibit obvious translucent dots when held up to the light, giving them a ‘perforated’ appearance, hence the plant's Latin name. Its flowers measure up to 2.5 cm across, have five petals, and are  colored bright yellow with conspicuous black dots. The flowers appear in  broad cymes at the ends of the upper branches, between late spring and early to mid summer. The sepals are pointed, with glandular dots in the tissue. There are many stamens, which are united at the base into three bundles. The pollen grains are ellipsoidal.[1] When flower buds (not the flowers themselves) or seed pods are crushed, a reddish/purple liquid is produced.				St. John's wort (Hypericaceae)	nonnative	invasive, hazardous							yellow	cyme	radial	5	Jun, Jul, Aug, Sept	opposite	simple	oblong, linear, lanceolate	entire	no	branched	ridged, square	hairless	76, 18	upright branching	bunches, singular		
Spotted St. John's-wort	Hypericum punctatum				Hypericum subpetiolatum	St. John's wort (Hypericaceae)	native								yellow	cyme	radial	5	Jun, Jul, Aug	opposite	simple	oblong, obovate	entire	yes, no	branched	round	hairless	76, 18	upright branching	bunches, singular		
Giant St. John's-wort, Great St. John's-wort	Hypericum pyramidatum				Hypericum ascyron	St. John's wort (Hypericaceae)	native								yellow	cyme, solitary	radial	5	Jul, Aug	opposite	simple	lanceolate, ovate, obovate	entire	no	branched	square	hairless	155, 36	upright branching	bunches, singular		
Orange jewelweed, Orange touch-me-not, Spotted touch-me-not	Impatiens capensis	Impatiens capensis, the Orange Jewelweed, Common Jewelweed, Spotted Jewelweed, Spotted Touch-me-not,[1] or Orange Balsam, is an annual plant native to North America. It is common in bottomland soils, ditches, and along creeks, often growing side-by-side with its less common relative, Yellow Jewelweed (I. pallida). The flowers are orange with a three-lobed corolla; one of the calyx  lobes is colored similarly to the corolla and forms a hooked conical  spur at the back of the flower. Plants may also produce non-showy cleistogamous flowers, which do not require cross-pollination.[2] The stems are somewhat translucent, succulent, and have swollen or darkened nodes. The seed pods are pendant and have projectile  seeds that explode out of the pods when they are lightly touched, if  ripe, which is where the name 'touch-me-not' comes from. The leaves  appear to be silver or 'jeweled' when held underwater, which is possibly  where the jewelweed name comes from. Along with other species of jewelweed it is a traditional remedy for skin rashes, although controlled studies have not shown efficacy for this purpose.			Impatiens biflora, Impatiens fulva, Impatiens noli-tangere, Impatiens nortonii	Touch-me-not (Balsaminaceae)	native	hazardous							orange	raceme	bilateral	3, 5	Jul, Aug, Sept	alternate	simple	elliptic, ovate	coarsely toothed	yes	branched	square, ridged	hairless	122, 41	upright branching	bunches, singular, patches		
False boneset	Kuhnia eupatorioides				Brickellia eupatorioides, Kuhnia hitchcockii	Aster, Daisy (Asteraceae)	native								yellow	panicle	bilateral	more	Aug, Sept, Oct	alternate	simple	linear, lanceolate, lobed	coarsely toothed, entire	yes, no	branched	round, ridged	hairless, fuzzy	74, 33	upright no/few branches, upright branching	bunches, singular		
Canada lettuce, Tall lettuce, Tall wild lettuce, Wild lettuce	Lactuca canadensis	Lactuca canadensis is a species of wild lettuce known by the common name Canada lettuce, or Canada wild lettuce.  It is native to much of North America, especially in eastern regions,  but it can be found all across the continent, having been introduced widely. This is a generally biennial herb in the daisy family growing from a taproot  to maximum heights between one half and two meters or more. The leaves  are deeply lobed and occasionally toothed. The top of the stem bears an inflorescence with many flower heads, each up to a centimeter wide when open. The heads have many pale yellow ray florets. The fruit is a dark-colored achene about half a centimeter long with a white pappus.			Lactuca sagittifolia	Aster, Daisy (Asteraceae)	native								yellow	panicle	radial	more	Jul, Aug, Sept	alternate	simple	lobed	lobed, finely toothed	no	branched	round	hairless, prickly	135, 56	upright no/few branches, upright branching	bunches, singular		
Motherwort, Lion's tail	Leonurus cardiaca	Motherwort (Leonurus cardiaca) is a herbaceous perennial plant in the mint family, Lamiaceae. Other common names include Throw-wort, Lion's Ear, and Lion's Tail. Lion's Tail also being a common name for Leonotis leonurus, and Lion's Ear, a common name for Leonotis nepetifolia. Originally from Central Asia it is now found worldwide, spread largely due to its use as a herbal remedy. L. cardiaca has a square stem and opposite leaves. The leaves have serrated margins and are palmately lobed with long petioles;  basal leaves are wedge shaped with three points and while the upper  leaves are more latticed. Flowers appear in leaf axils on the upper part  of the plant and it blooms between June–August. The flowers are small,  pink to lilac in colour often with furry lower lips. The plant grows to  about 60–100 cm in height. It can be found along roadsides and in vacant  fields and other disturbed areas.				Mint (Lamiaceae)	nonnative	hazardous							pink, white	spike	bilateral	5	Jun, Jul, Aug	opposite	simple	lobed	lobed, coarsely toothed	yes	branched	square	hairy, fuzzy	99, 36	upright no/few branches, upright branching	bunches, singular		
Prairie pepperweed, Small peppergrass, Green-flowered peppergrass	Lepidium densiflorum	This is an annual or biennial herb producing a short, erect, branching  stem up to about 30 centimeters in height. Leaves grow in a basal  rosette at the base of the stem and reach up to about 10 centimeters  long; leaves higher up on the stem are smaller and less prominently  lobed. The plant produces raceme inflorescences of tiny flowers with sepals each only about a millimeter long. There are usually no petals, though sometimes vestigial petals appear near the sepals. The fruit is a few millimeters long.			Lepidium apetulum, Lepidium neglectum, Lepidium texanum, Lepidium bourgeauanum	Mustard (Brassicaceae)	nonnative								green	raceme	radial	4	May, Jun	alternate	simple	lobed, linear	lobed, coarsely toothed	no	branched	round	fuzzy, hairless	41, 15	upright no/few branches, upright branching	bunches, singular		
Round-headed bush clover, Round-headed lespedeza	Lespedeza capitata	Lespedeza capitata is a species of flowering plant in the Fabaceae, or legume family, and is known by the common name roundhead bushclover, or roundhead lespedeza.[1] It is native to eastern North America, including eastern Canada and the eastern half of the United States.[2] This plant is a perennial herb with erect stems growing up to 1.5 meters tall. The taproot  may grow over two meters deep into the soil, with lateral roots  reaching out one meter horizontally. The alternately arranged leaves are  each made up of several leaflets. The plant is coated in silvery hairs.  Flowers are borne in somewhat rounded clusters atop each stem. The  flower is white with a purple spot.[3] In the wild this plant grows in wooded areas, on prairies, and in disturbed habitat such as roadsides. It is tolerant of drought.[4] It fixes nitrogen.[3] This plant is used as a component of seed mixes for vegetating  rangeland. It is a good addition to livestock forage, as it is palatable  and nutritious.[3] The seeds are part of the diet of the Bobwhite Quail.[5] The plant can also be used in flower arrangements.[3] This plant had a number of medicinal uses for Native American groups. It was used as a moxa to treat rheumatism. The Comanche used the leaves for tea.[5] The Meskwaki used the roots to make an antidote for poison.[6] The Pawnee people referred to the plant as rabbit foot, while the Omaha and Ponca peoples gave it the name male buffalo bellow plant			Lespedeza bicknellii, Lespedeza longifolia, Lespedeza velutina	Bean, Pea (Fabaceae)	native								white, green, yellow	head, spike	bilateral	5	Jul, Aug, Sept	alternate	trifoliate	divided, linear, oblong	entire	yes	branched	round, ridged	fuzzy, hairy	109, 28	upright no/few branches	bunches, singular		
Slender bush clover, Virginia lespedeza	Lespedeza virginica				Medicago virginica	Bean, Pea (Fabaceae)	native	threatened							pink, purple, white	spike, raceme	bilateral	5	Jul, Aug, Sept	alternate	trifoliate	divided, linear, oblong	entire	yes	branched	round	fuzzy	43, 10	upright no/few branches	bunches, singular		
